date,hour,Number of day in a week,zone_045_temp,cerc_templogger_5,zone_045_co2
2020-04-27 01:00:00,1,1.0,72.45625000000001,73.58689999999999,418.4417163368421
2020-04-27 02:00:00,2,1.0,72.39333333333335,73.60579999999999,422.2983042740741
2020-04-27 03:00:00,3,1.0,72.2,73.75550000000001,425.1752899316666
2020-04-27 04:00:00,4,1.0,71.912,73.6997,425.2198818183333
2020-04-27 05:00:00,5,1.0,71.9,73.7747,425.0453597333333
2020-04-27 06:00:00,6,1.0,71.71290322580644,73.9433,424.979272465
2020-04-27 07:00:00,7,1.0,71.7,74.16799999999999,425.0461321066667
2020-04-27 08:00:00,8,1.0,71.6241935483871,74.2997,425.41506806
2020-04-27 09:00:00,9,1.0,71.5,74.3744,425.3463920133333
2020-04-27 10:00:00,10,1.0,71.34032258064516,74.4497,424.9712357883333
2020-04-27 11:00:00,11,1.0,71.32741935483871,74.6183,425.18788308
2020-04-27 12:00:00,12,1.0,71.2,74.6555,425.3277560066666
2020-04-27 13:00:00,13,1.0,71.21000000000001,74.6183,425.3898224083333
2020-04-27 14:00:00,14,1.0,71.2,74.48689999999999,422.5376870333333
2020-04-27 15:00:00,15,1.0,71.2,74.1497,416.9170764397059
2020-04-27 16:00:00,16,1.0,71.34285714285714,73.96189999999999,419.0484307583334
2020-04-27 17:00:00,17,1.0,71.64333333333335,73.8872,425.2433924483333
2020-04-27 18:00:00,18,1.0,71.81803278688525,73.6997,425.03371253666666
2020-04-27 19:00:00,19,1.0,72.135,73.5872,425.0152527333333
2020-04-27 20:00:00,20,1.0,72.37666666666668,73.4933,417.87185402
2020-04-27 21:00:00,21,1.0,72.59180327868853,73.3808,420.29500907833335
2020-04-27 22:00:00,22,1.0,72.7,73.3058,425.21668137
2020-04-27 23:00:00,23,1.0,72.7360655737705,73.3058,425.027975415
2020-04-28 00:00:00,0,2.0,72.72950819672131,73.2683,423.30361644
2020-04-28 01:00:00,1,2.0,72.9,73.24969999999999,416.318725546875
2020-04-28 02:00:00,2,2.0,72.9,73.2683,416.5991513038961
2020-04-28 03:00:00,3,2.0,72.86721311475411,73.3997,417.2029865032787
2020-04-28 04:00:00,4,2.0,72.7,73.4744,416.5982296916666
2020-04-28 05:00:00,5,2.0,72.7,73.5119,417.3306632987179
2020-04-28 06:00:00,6,2.0,72.75757575757575,73.64359999999999,418.9601891262501
2020-04-28 07:00:00,7,2.0,72.4,73.9247,417.35238582441866
2020-04-28 08:00:00,8,2.0,72.4,74.0933,419.26208895975606
2020-04-28 09:00:00,9,2.0,72.26086956521739,74.2244,421.9398768621212
2020-04-28 10:00:00,10,2.0,72.2,74.3186,422.254382484127
2020-04-28 11:00:00,11,2.0,72.18202247191012,74.4497,418.0102965609756
2020-04-28 12:00:00,12,2.0,71.93829787234043,74.5433,416.0420462410256
2020-04-28 13:00:00,13,2.0,71.9,74.4497,419.0287255557143
2020-04-28 14:00:00,14,2.0,71.9,74.3183,420.38718321940297
2020-04-28 15:00:00,15,2.0,71.9,74.0369,418.8803619417583
2020-04-28 16:00:00,16,2.0,72.18666666666667,73.8869,425.1863099283333
2020-04-28 17:00:00,17,2.0,72.425,73.7744,425.01447867166667
2020-04-28 18:00:00,18,2.0,72.625,73.5872,425.14157037333337
2020-04-28 19:00:00,19,2.0,72.73,73.4558,425.01234644
2020-04-28 20:00:00,20,2.0,72.9,73.36189999999999,425.183145625
2020-04-28 21:00:00,21,2.0,72.9,73.3247,425.14797722
2020-04-28 22:00:00,22,2.0,72.96000000000001,73.2683,425.3924865
2020-04-28 23:00:00,23,2.0,73.03833333333334,73.2872,425.0097618716666
2020-04-29 00:00:00,0,3.0,72.905,73.04329999999999,424.84494337833337
2020-04-29 01:00:00,1,3.0,73.11500000000001,73.0997,425.1731234
2020-04-29 02:00:00,2,3.0,72.9,73.5683,425.08948626
2020-04-29 03:00:00,3,3.0,72.9,73.7744,425.2151366483333
2020-04-29 04:00:00,4,3.0,72.82857142857144,74.44910000000002,425.0618580333333
2020-04-29 05:00:00,5,3.0,72.7031746031746,74.8244,424.978402195
2020-04-29 06:00:00,6,3.0,72.53225806451613,75.0683,425.39578509166665
2020-04-29 07:00:00,7,3.0,72.37619047619049,75.31219999999999,424.8728964766667
2020-04-29 08:00:00,8,3.0,72.2,75.59360000000001,425.16785244833335
2020-04-29 09:00:00,9,3.0,72.03500000000001,75.7433,425.1551931866667
2020-04-29 10:00:00,10,3.0,71.9,75.7805,425.0549415100001
2020-04-29 11:00:00,11,3.0,71.8780487804878,75.593,425.08873416333336
2020-04-29 12:00:00,12,3.0,71.82,75.49969999999999,425.21044171333335
2020-04-29 13:00:00,13,3.0,71.7,75.4058,425.2635225083333
2020-04-29 14:00:00,14,3.0,71.7,75.1619,425.235096705
2020-04-29 15:00:00,15,3.0,71.7,74.918,425.22723062333336
2020-04-29 16:00:00,16,3.0,71.68636363636364,74.67439999999999,424.9130157916667
2020-04-29 17:00:00,17,3.0,71.7,74.5808,425.2528530816666
2020-04-29 18:00:00,18,3.0,71.7,74.4683,425.08208659166667
2020-04-29 19:00:00,19,3.0,71.79879518072289,74.48689999999999,424.924274025
2020-04-29 20:00:00,20,3.0,71.9,74.2433,425.1206176416666
2020-04-29 21:00:00,21,3.0,72.12380952380953,74.16829999999999,425.1121605266666
2020-04-29 22:00:00,22,3.0,72.42622950819673,73.9811,425.5394241066667
2020-04-29 23:00:00,23,3.0,72.4409090909091,74.1497,425.218898415
2020-04-30 00:00:00,0,4.0,72.4,73.8683,425.0109726683333
2020-04-30 01:00:00,1,4.0,72.4,73.9436,425.353977495
2020-04-30 02:00:00,2,4.0,72.4,74.3558,424.9375542266667
2020-04-30 03:00:00,3,4.0,72.4,74.67439999999999,425.16634116166665
2020-04-30 04:00:00,4,4.0,72.25925925925925,74.9183,425.23662592
2020-04-30 05:00:00,5,4.0,72.20243902439024,75.04939999999999,425.02429442
2020-04-30 06:00:00,6,4.0,72.1141891891892,75.42439999999999,425.204609715
2020-04-30 07:00:00,7,4.0,71.85934065934067,75.7622,425.1813167216667
2020-04-30 08:00:00,8,4.0,71.693125,76.21189999999999,425.0051321133333
2020-04-30 09:00:00,9,4.0,71.59466666666667,76.0994,425.1553499083333
2020-04-30 10:00:00,10,4.0,71.5,76.043,425.3027259816666
2020-04-30 11:00:00,11,4.0,71.39423076923077,76.0808,424.9401771316667
2020-04-30 12:00:00,12,4.0,71.28571428571429,76.0061,425.26253513
2020-04-30 13:00:00,13,4.0,71.20625000000001,75.8744,424.8497080716666
2020-04-30 14:00:00,14,4.0,71.20476190476191,75.7058,425.1152459000001
2020-04-30 15:00:00,15,4.0,71.2,75.368,424.9856590533333
2020-04-30 16:00:00,16,4.0,71.26666666666667,75.0122,425.1615787416667
2020-04-30 17:00:00,17,4.0,71.5169014084507,74.6747,424.87215785666666
2020-04-30 18:00:00,18,4.0,71.74761904761905,74.5247,425.2665191116666
2020-04-30 19:00:00,19,4.0,71.9,74.3186,425.12622660333335
2020-04-30 20:00:00,20,4.0,72.12622950819672,74.1869,425.09823955166667
2020-04-30 21:00:00,21,4.0,72.27540983606558,74.0558,425.2296067216666
2020-04-30 22:00:00,22,4.0,72.4,74.0183,425.09946563
2020-04-30 23:00:00,23,4.0,72.5032786885246,73.96189999999999,425.17311146
