date,hour,Number of day in a week,zone_045_temp,cerc_templogger_5,eventco2,eventtargetco2
2019-08-19 01:00:00,1,1.0,72.4,73.4,0,0
2019-08-19 02:00:00,2,1.0,72.37666666666668,73.4744,0,0
2019-08-19 03:00:00,3,1.0,72.2,73.3011125,0,0
2019-08-19 04:00:00,4,1.0,72.25,73.1558,0,0
2019-08-19 05:00:00,5,1.0,72.105,73.0994,0,0
2019-08-19 06:00:00,6,1.0,71.9,72.9497,0,0
2019-08-19 07:00:00,7,1.0,71.965,72.9308,0,0
2019-08-19 08:00:00,8,1.0,71.71333333333334,72.8555,0,0
2019-08-19 09:00:00,9,1.0,71.7,72.7808,0,0
2019-08-19 10:00:00,10,1.0,71.53666666666666,72.51859999999999,0,0
2019-08-19 11:00:00,11,1.0,71.5,72.3122,0,0
2019-08-19 12:00:00,12,1.0,71.49499999999999,72.1997,0,0
2019-08-19 13:00:00,13,1.0,71.21000000000001,72.0869,0,0
2019-08-19 14:00:00,14,1.0,71.2,72.0119,0,0
2019-08-19 15:00:00,15,1.0,71.40666666666667,71.8247,0,0
2019-08-19 16:00:00,16,1.0,71.5,71.74940000000001,0,0
2019-08-19 17:00:00,17,1.0,71.62333333333335,71.9369,0,0
2019-08-19 18:00:00,18,1.0,71.9,72.19999999999999,0,0
2019-08-19 19:00:00,19,1.0,71.99000000000001,72.31190000000001,0,0
2019-08-19 20:00:00,20,1.0,72.70833333333333,72.4058,0,0
2019-08-19 21:00:00,21,1.0,72.965,72.3869,0,0
2019-08-19 22:00:00,22,1.0,72.89333333333335,72.2933,0,0
2019-08-19 23:00:00,23,1.0,72.70333333333333,72.4622,0,0
2019-08-20 00:00:00,0,2.0,72.61500000000001,72.7808,0,0
2019-08-20 01:00:00,1,2.0,72.4,72.9122,0,0
2019-08-20 02:00:00,2,2.0,72.27666666666667,72.8747,0,0
2019-08-20 03:00:00,3,2.0,72.145,72.893,0,0
2019-08-20 04:00:00,4,2.0,71.99500000000002,72.9308,0,0
2019-08-20 05:00:00,5,2.0,71.9,72.83689999999999,0,0
2019-08-20 06:00:00,6,2.0,71.77666666666667,72.743,0,0
