date,hour,Number of day in a week,zone_044_temp,cerc_templogger_4,eventco2,eventtargetco2
2019-08-19 01:00:00,1,1.0,71.805,74.3372,0,0
2019-08-19 02:00:00,2,1.0,71.325,74.30000000000001,0,0
2019-08-19 03:00:00,3,1.0,71.07333333333334,74.3768375,0,0
2019-08-19 04:00:00,4,1.0,71.195,74.3744,0,0
2019-08-19 05:00:00,5,1.0,71.2,74.4119,0,0
2019-08-19 06:00:00,6,1.0,71.185,74.18719999999999,0,0
2019-08-19 07:00:00,7,1.0,71.205,74.1497,0,0
2019-08-19 08:00:00,8,1.0,71.205,73.99940000000001,0,0
2019-08-19 09:00:00,9,1.0,71.185,73.9058,0,0
2019-08-19 10:00:00,10,1.0,71.225,73.7183,0,0
2019-08-19 11:00:00,11,1.0,71.18,73.6244,0,0
2019-08-19 12:00:00,12,1.0,71.2,73.6805,0,0
2019-08-19 13:00:00,13,1.0,71.22,73.5122,0,0
2019-08-19 14:00:00,14,1.0,71.185,73.36189999999999,0,0
2019-08-19 15:00:00,15,1.0,71.21000000000001,73.3997,0,0
2019-08-19 16:00:00,16,1.0,71.195,73.15549999999999,0,0
2019-08-19 17:00:00,17,1.0,71.205,73.1183,0,0
2019-08-19 18:00:00,18,1.0,71.22,73.3058,0,0
2019-08-19 19:00:00,19,1.0,71.185,73.4933,0,0
2019-08-19 20:00:00,20,1.0,71.24000000000001,73.6994,0,0
2019-08-19 21:00:00,21,1.0,71.19000000000001,73.9433,0,0
2019-08-19 22:00:00,22,1.0,71.36999999999999,74.16829999999999,0,0
2019-08-19 23:00:00,23,1.0,71.67666666666668,74.3372,0,0
2019-08-20 00:00:00,0,2.0,71.58,74.58109999999999,0,0
2019-08-20 01:00:00,1,2.0,71.53666666666666,74.7122,0,0
2019-08-20 02:00:00,2,2.0,71.25,74.5808,0,0
2019-08-20 03:00:00,3,2.0,71.125,74.3555,0,0
2019-08-20 04:00:00,4,2.0,71.2,74.5997,0,0
2019-08-20 05:00:00,5,2.0,71.195,74.243,0,0
2019-08-20 06:00:00,6,2.0,71.2,73.8119,0,0
2019-08-20 07:00:00,7,2.0,71.21000000000001,73.5683,0,0
2019-08-20 08:00:00,8,2.0,71.195,73.60549999999999,0,0
2019-08-20 09:00:00,9,2.0,71.2,73.58689999999999,0,0
2019-08-20 10:00:00,10,2.0,71.2,73.62469999999999,0,0
2019-08-20 11:00:00,11,2.0,71.195,73.4555,0,0
2019-08-20 12:00:00,12,2.0,71.215,73.2122,0,0
2019-08-20 13:00:00,13,2.0,71.19000000000001,72.9686,0,0
2019-08-20 14:00:00,14,2.0,71.2,72.9494,0,1
2019-08-20 15:00:00,15,2.0,71.21000000000001,72.8561,1,1
2019-08-20 16:00:00,16,2.0,71.19000000000001,72.7808,1,0
2019-08-20 17:00:00,17,2.0,71.215,72.668,0,0
2019-08-20 18:00:00,18,2.0,71.215,72.6683,0,0
2019-08-20 19:00:00,19,2.0,71.22,72.8933,0,0
2019-08-20 20:00:00,20,2.0,71.45,73.0805,0,0
2019-08-20 21:00:00,21,2.0,72.24833333333335,73.2311,0,0
2019-08-20 22:00:00,22,2.0,73.225,73.2872,0,0
2019-08-20 23:00:00,23,2.0,73.10666666666667,73.3433,0,0
2019-08-21 00:00:00,0,3.0,72.44833333333334,73.5872,0,0
2019-08-21 01:00:00,1,3.0,72.17333333333335,73.9247,0,0
2019-08-21 02:00:00,2,3.0,71.85,74.0933,0,0
2019-08-21 03:00:00,3,3.0,71.48166666666665,74.14939999999999,0,0
2019-08-21 04:00:00,4,3.0,71.105,74.3183,0,0
2019-08-21 05:00:00,5,3.0,71.195,74.3183,0,0
2019-08-21 06:00:00,6,3.0,71.185,74.0183,0,0
2019-08-21 07:00:00,7,3.0,71.2,73.8497,0,0
2019-08-21 08:00:00,8,3.0,71.19000000000001,73.7183,0,0
2019-08-21 09:00:00,9,3.0,71.205,73.6994,0,0
2019-08-21 10:00:00,10,3.0,71.185,73.54939999999999,0,1
2019-08-21 11:00:00,11,3.0,71.21000000000001,73.418,1,1
2019-08-21 12:00:00,12,3.0,71.2,73.3811,1,1
2019-08-21 13:00:00,13,3.0,71.19000000000001,73.2872,1,1
2019-08-21 14:00:00,14,3.0,71.215,73.2119,1,1
2019-08-21 15:00:00,15,3.0,71.18,73.2305,1,1
2019-08-21 16:00:00,16,3.0,71.205,73.2308,1,1
2019-08-21 17:00:00,17,3.0,71.23,73.1747,1,1
2019-08-21 18:00:00,18,3.0,71.225,73.2122,1,1
2019-08-21 19:00:00,19,3.0,71.41000000000001,73.2494,1,0
2019-08-21 20:00:00,20,3.0,72.12833333333333,73.3808,0,0
2019-08-21 21:00:00,21,3.0,73.51666666666667,73.1933,0,0
2019-08-21 22:00:00,22,3.0,74.91166666666666,73.36189999999999,0,0
2019-08-21 23:00:00,23,3.0,75.235,73.92439999999999,0,0
2019-08-22 00:00:00,0,4.0,74.75333333333333,74.1122,0,0
2019-08-22 01:00:00,1,4.0,74.09333333333333,74.20580000000001,0,0
2019-08-22 02:00:00,2,4.0,73.66166666666666,74.4308,0,0
2019-08-22 03:00:00,3,4.0,73.16000000000001,74.48689999999999,0,0
2019-08-22 04:00:00,4,4.0,72.65166666666667,74.4308,0,0
2019-08-22 05:00:00,5,4.0,72.23666666666666,73.9811,0,0
2019-08-22 06:00:00,6,4.0,71.825,73.99940000000001,0,0
2019-08-22 07:00:00,7,4.0,71.60333333333332,73.9058,0,0
2019-08-22 08:00:00,8,4.0,71.29,73.8494,0,0
2019-08-22 09:00:00,9,4.0,71.09,73.6808,0,1
2019-08-22 10:00:00,10,4.0,71.19000000000001,73.5683,1,1
2019-08-22 11:00:00,11,4.0,71.19000000000001,73.5122,1,1
2019-08-22 12:00:00,12,4.0,71.205,73.43690000000001,1,1
2019-08-22 13:00:00,13,4.0,71.2,73.24969999999999,1,1
2019-08-22 14:00:00,14,4.0,71.21000000000001,73.04329999999999,1,1
2019-08-22 15:00:00,15,4.0,71.205,72.9497,1,1
2019-08-22 16:00:00,16,4.0,71.21000000000001,72.968,1,1
2019-08-22 17:00:00,17,4.0,71.225,73.0058,1,1
2019-08-22 18:00:00,18,4.0,71.31,73.0997,1,0
2019-08-22 19:00:00,19,4.0,71.61666666666666,73.2122,0,0
2019-08-22 20:00:00,20,4.0,71.945,73.0058,0,0
2019-08-22 21:00:00,21,4.0,73.77,72.9122,0,0
2019-08-22 22:00:00,22,4.0,73.84666666666666,73.2122,0,0
2019-08-22 23:00:00,23,4.0,73.74666666666667,73.4747,0,0
2019-08-23 00:00:00,0,5.0,73.33,73.6994,0,0
2019-08-23 01:00:00,1,5.0,73.59,73.8683,0,0
2019-08-23 02:00:00,2,5.0,73.54333333333334,73.92439999999999,0,0
2019-08-23 03:00:00,3,5.0,72.73833333333333,73.9808,0,0
2019-08-23 04:00:00,4,5.0,72.13333333333334,73.99940000000001,0,0
2019-08-23 05:00:00,5,5.0,71.57166666666667,73.9058,0,0
2019-08-23 06:00:00,6,5.0,71.14000000000001,73.9808,0,0
2019-08-23 07:00:00,7,5.0,71.135,73.92410000000001,0,0
2019-08-23 08:00:00,8,5.0,71.205,73.7744,0,0
2019-08-23 09:00:00,9,5.0,71.2,73.60579999999999,0,0
2019-08-23 10:00:00,10,5.0,71.19000000000001,73.4372,0,0
2019-08-23 11:00:00,11,5.0,71.19000000000001,73.6811,0,0
2019-08-23 12:00:00,12,5.0,71.2,73.36189999999999,0,0
2019-08-23 13:00:00,13,5.0,71.205,73.3997,0,0
2019-08-23 14:00:00,14,5.0,71.195,73.6997,0,0
2019-08-23 15:00:00,15,5.0,71.21000000000001,73.8308,0,0
2019-08-23 16:00:00,16,5.0,71.19000000000001,73.8872,0,0
2019-08-23 17:00:00,17,5.0,71.205,73.9058,0,0
2019-08-23 18:00:00,18,5.0,71.24166666666666,73.8497,0,0
2019-08-23 19:00:00,19,5.0,71.36,74.0558,0,0
2019-08-23 20:00:00,20,5.0,71.69833333333334,74.16829999999999,0,0
2019-08-23 21:00:00,21,5.0,72.455,74.29939999999999,0,0
2019-08-23 22:00:00,22,5.0,73.11833333333334,74.3369,0,0
2019-08-23 23:00:00,23,5.0,72.90166666666667,74.37469999999999,0,0
2019-08-24 00:00:00,0,6.0,72.08833333333334,74.6933,0,0
2019-08-24 01:00:00,1,6.0,71.45833333333333,74.86189999999999,0,0
2019-08-24 02:00:00,2,6.0,71.09,74.8433,0,0
2019-08-24 03:00:00,3,6.0,71.20833333333333,74.9558,0,0
2019-08-24 04:00:00,4,6.0,71.175,74.7311,0,0
2019-08-24 05:00:00,5,6.0,71.205,74.5247,0,0
2019-08-24 06:00:00,6,6.0,71.2,74.4683,0,0
2019-08-24 07:00:00,7,6.0,70.67833333333333,74.3561,0,0
2019-08-24 08:00:00,8,6.0,70.21666666666667,74.20580000000001,0,0
2019-08-24 09:00:00,9,6.0,70.01333333333334,74.0747,0,0
2019-08-24 10:00:00,10,6.0,69.83,73.8494,0,0
2019-08-24 11:00:00,11,6.0,69.63666666666667,73.5872,0,0
2019-08-24 12:00:00,12,6.0,69.49833333333332,73.4186,0,0
2019-08-24 13:00:00,13,6.0,69.23,73.2869,0,0
2019-08-24 14:00:00,14,6.0,69.205,73.1747,0,0
2019-08-24 15:00:00,15,6.0,69.14666666666668,73.1936,0,0
2019-08-24 16:00:00,16,6.0,69.21333333333334,73.1936,0,0
2019-08-24 17:00:00,17,6.0,69.45333333333333,73.1183,0,0
2019-08-24 18:00:00,18,6.0,69.86999999999999,73.08080000000001,0,0
2019-08-24 19:00:00,19,6.0,70.30166666666668,73.3055,0,0
2019-08-24 20:00:00,20,6.0,70.92333333333335,73.45609999999999,0,0
2019-08-24 21:00:00,21,6.0,72.19666666666667,73.3808,0,0
2019-08-24 22:00:00,22,6.0,73.32,73.643,0,0
2019-08-24 23:00:00,23,6.0,73.12166666666667,73.9058,0,0
2019-08-25 00:00:00,0,7.0,72.52833333333335,74.2244,0,0
2019-08-25 01:00:00,1,7.0,72.13166666666667,74.4305,0,0
2019-08-25 02:00:00,2,7.0,71.855,74.6366,0,0
2019-08-25 03:00:00,3,7.0,71.53500000000001,74.84299999999999,0,0
2019-08-25 04:00:00,4,7.0,71.06,74.8994,0,0
2019-08-25 05:00:00,5,7.0,70.65666666666668,74.74969999999999,0,0
2019-08-25 06:00:00,6,7.0,70.69166666666666,74.5622,0,0
2019-08-25 07:00:00,7,7.0,71.27166666666668,74.46860000000001,0,0
2019-08-25 08:00:00,8,7.0,71.195,74.3369,0,0
2019-08-25 09:00:00,9,7.0,71.195,74.3558,0,0
2019-08-25 10:00:00,10,7.0,71.205,74.2433,0,0
2019-08-25 11:00:00,11,7.0,71.19000000000001,74.2433,0,0
2019-08-25 12:00:00,12,7.0,71.195,73.9433,0,0
2019-08-25 13:00:00,13,7.0,71.215,74.0558,0,0
2019-08-25 14:00:00,14,7.0,71.185,73.8872,0,0
2019-08-25 15:00:00,15,7.0,71.21333333333334,73.96189999999999,0,0
2019-08-25 16:00:00,16,7.0,71.215,74.0744,0,0
2019-08-25 17:00:00,17,7.0,71.21000000000001,74.2247,0,0
2019-08-25 18:00:00,18,7.0,71.2,74.0936,0,0
2019-08-25 19:00:00,19,7.0,71.24000000000001,74.1308,0,0
2019-08-25 20:00:00,20,7.0,71.56666666666666,74.29939999999999,0,0
2019-08-25 21:00:00,21,7.0,72.39666666666668,74.4683,0,0
2019-08-25 22:00:00,22,7.0,73.27333333333334,74.50549999999998,0,0
2019-08-25 23:00:00,23,7.0,72.96833333333333,74.74969999999999,0,0
2019-08-26 00:00:00,0,1.0,72.46333333333334,74.6372,0,0
2019-08-26 01:00:00,1,1.0,72.20666666666668,74.73049999999999,0,0
2019-08-26 02:00:00,2,1.0,71.94500000000001,74.6933,0,0
2019-08-26 03:00:00,3,1.0,71.61333333333333,74.8808,0,0
2019-08-26 04:00:00,4,1.0,71.09333333333333,74.9369,0,0
2019-08-26 05:00:00,5,1.0,71.22,74.8622,0,0
2019-08-26 06:00:00,6,1.0,71.205,74.8058,0,0
2019-08-26 07:00:00,7,1.0,71.185,74.76859999999999,0,0
2019-08-26 08:00:00,8,1.0,71.185,74.76830000000001,0,0
2019-08-26 09:00:00,9,1.0,71.215,74.6558,0,1
2019-08-26 10:00:00,10,1.0,71.195,74.5994,1,1
2019-08-26 11:00:00,11,1.0,71.195,74.5061,1,1
2019-08-26 12:00:00,12,1.0,71.205,74.4683,1,1
2019-08-26 13:00:00,13,1.0,71.195,74.3369,1,1
2019-08-26 14:00:00,14,1.0,71.21000000000001,74.18719999999999,1,1
2019-08-26 15:00:00,15,1.0,71.21000000000001,74.2622,1,1
2019-08-26 16:00:00,16,1.0,71.205,74.4122,1,1
2019-08-26 17:00:00,17,1.0,71.25500000000001,74.3558,1,0
2019-08-26 18:00:00,18,1.0,71.2,74.5058,0,0
2019-08-26 19:00:00,19,1.0,71.67,74.6369,0,0
2019-08-26 20:00:00,20,1.0,72.4,74.8058,0,0
2019-08-26 21:00:00,21,1.0,73.63333333333334,74.86189999999999,0,0
2019-08-26 22:00:00,22,1.0,75.35,74.8061,0,0
2019-08-26 23:00:00,23,1.0,75.38666666666667,74.73079999999999,0,0
2019-08-27 00:00:00,0,2.0,74.20333333333333,74.6372,0,0
2019-08-27 01:00:00,1,2.0,73.08166666666668,74.5808,0,0
2019-08-27 02:00:00,2,2.0,72.47833333333332,74.4308,0,0
2019-08-27 03:00:00,3,2.0,71.91166666666666,74.2997,0,0
2019-08-27 04:00:00,4,2.0,71.385,74.41159999999999,0,0
